1,Motorcycle,Honda,CBR150R 2016,Indonesian Version,,149,12.6,13.7,1983,694,1038,,"4,50,000",Telescopic,Pro-Link,100 / 80-17 52P (tubeless),130 / 70-17 62P (tubeless),Hydraulic disc,Hydraulic disc,Bangladesh Honda Pvt. Ltd.,,,,
2,Motorcycle,Honda,CBR150R 2016,Thailand Edition,,149.4,,,1977,695,1130,185,"4,30,000",Telescopic,Mono Shock,100 / 80-17 M / C 52P,130 / 70-17 M / C 62P,Dual-piston Disc,Disc,Bangladesh Honda Pvt. Ltd.,,,,
3,Motorcycle,Honda,CBR150R 2015,Indonesian Version,,149.5,12.6,13,1977,711,1117,160,,Telescopic,Pro-Link,100 / 80-17M / C (tubeless),130 / 70-17M / C (tubeless),Dual-piston Disc,Single Piston Hydraulic Disc,Bangladesh Honda Pvt. Ltd.,,,,
4,Motorcycle,Honda,CB Hornet,160R,,162.71,11.3,14.8,2041,783,1067,164,"1,99,800",Telescopic,Mono Shock,100/80-17 (tubeless),140/70-17 (tubeless),Petal Disc 276mm,Drum 130 / Petal Disc 220,Bangladesh Honda Pvt. Ltd.,,,,
5,Motorcycle,Honda,X-Blade,160 CC,,162.71,10.4,13.9,2013,786,1115,160,,Telescopic,Mono Shock,80/100-17,130/70-17,276 mm Single Disc,130 mm Drum,Bangladesh Honda Pvt. Ltd.,,,,
6,Motorcycle,Honda,CBR,150R,40,149.4,13.6,12.7,2000,825,1120,190,"4,50,000",Telescopic,Mono Shock,100/80-17 (tubeless),130/70-17,276 mm Single Disc,220 mm Disc,Bangladesh Honda Pvt. Ltd.,,,,
7,Motorcycle,Honda,CB 150R,StreetFire,,149.16,12.4,13.8,2019,719,1039,169,"3,80,000",Telescopic,Pro-Link,100 / 80-17 52P,130 / 70-17 62P,276mm Dual Piston Disc,220mm Single Piston Disc,Bangladesh Honda Pvt. Ltd.,,,,
8,Motorcycle,Honda,CB150R,Exmotion,,150,,,1973,822,1053,139,"5,60,000",Telescopic,Mono Shock,110/70-17,150/60-17,Disc,Disc,Bangladesh Honda Pvt. Ltd.,,,,
9,Motorcycle,Honda,CB Unicorn,150 CC,,149.1,9.8,12.84,2095,756,1100,179,,Telescopic,Mono Shock,2.75-18 (Tube),100/90-18 (Tube),240 mm Disc,130 mm Drum,Bangladesh Honda Pvt. Ltd.,,,,
10,Motorcycle,Honda,CB,Trigger,,149.1,10.1,12.5,2045,757,1060,175,"1,91,000",Telescopic,Mono Shock,80/100-17 M/C 46P (Tubeless),110/80-17 M/C 57P (Tubeless),Disc 240mm,Disc 220mm,Bangladesh Honda Pvt. Ltd.,,,,
11,Motorcycle,Honda,CB,Twister,,109,6.7,9,1967,742,1075,167,,Telescopic,Hydraulic,70/100-17/M/C/40P,80/100-17/M/C/53P,Disc,Drum,Bangladesh Honda Pvt. Ltd.,,,,
12,Motorcycle,Honda,CBF,Stunner,,124.7,8.2,11,2012,734,1111,173,,Telescopic,Hydraulic,80/100-17,100/90-77,Disc 240mm,130 mm Drum,Bangladesh Honda Pvt. Ltd.,,,,
13,Motorcycle,Honda,Shine,125 CC,,124.7,9.9,10.3,2012,762,1090,157,"1,36,000",Telescopic,Hydraulic,80/100-18,80/100-18,Disc 240mm,130 mm Drum,Bangladesh Honda Pvt. Ltd.,,,,
14,Motorcycle,Honda,Shine,SP,,124.7,7.9,10.3,2007,762,1085,160,,Telescopic,Hydraulic,80/100-18,80/100-18,Disc 240mm,130 mm Drum,Bangladesh Honda Pvt. Ltd.,,,,
15,Motorcycle,Honda,Livo,110 CC,,109,6.1,8.63,2020,746,1099,180,"1,26,000",Telescopic,Hydraulic,80/100-18,80/100-18,Disc 240mm,130 mm Drum,Bangladesh Honda Pvt. Ltd.,,,,
16,Motorcycle,Honda,Dream,Neo,,109.19,6.1,8.63,2009,737,1074,179,"1,14,500",Telescopic,Hydraulic,80/100-18,80/100-18,Disc 240mm,130 mm Drum,Bangladesh Honda Pvt. Ltd.,,,,
17,Motorcycle,Honda,CD,80 CC,67,72,3.3,,1897,751,1014,136,"86,000",Telescopic,Twin-spring loaded,2.25 � 17 (4 PR),2.50 � 17 (4 PR),Drum,Drum,Bangladesh Honda Pvt. Ltd.,,,,
18,Scooter,Honda,Wave,Alpha,,97,5.1,7,1908,699,1070,135,"1,35,000",,,,,,,Bangladesh Honda Pvt. Ltd.,,,,
19,Scooter,Honda,Dio,100 CC,,109.2,6,8.8,1781,710,1133,158,,Hydraulic,Hydraulic,90/100-10,90/100-10,130 mm Drum,130 mm Drum,Bangladesh Honda Pvt. Ltd.,,,,
20,Scooter,Honda,Beat,110 CC,,108,6.2,8.3,1869,676,747,154,,Telescopic,Mono Shock,80/90-14,90/90-14,Single disc. Hydraulic,Drum,Bangladesh Honda Pvt. Ltd.,,,,
21,Motorcycle,Bajaj,Pulsar,160 NS,,160.3,11.4,14.6,2012,803.5,1060,176,"1,99,500",Telescopic,Mono suspension,80/100-17,110/80-17,240mm Disc,130mm Drum,,,,,
22,Motorcycle,Bajaj,V 15,150 CC,,149.5,8.8,13,2044,780,1070,165,"1,59,500",Telescopic,Hydraulic,90/90 � 18,120/80 � 16,240mm Disc,130mm Drum,,,,,
23,Motorcycle,Bajaj,Pulsar,150 AS,,149.5,12.5,13,2070,804,1205,170,"2,23,500",Telescopic,Mono suspension,80/100-17_ 46P,110/80-17_ 57P,240mm Disc,130mm Drum,,,,,
24,Motorcycle,Bajaj,Avenger,Street 150,,150,10.6,12.5,2177,801,1070,169,"1,99,500",Telescopic,Twin Shock Absorbers,90/90 � 17_ 49P,130/90 � 15_ 66P,240mm Disc,130mm Drum,,,,,
25,Motorcycle,Bajaj,Pulsar,150 CC,,149,11.1,12.5,,,,,"1,72,500",Telescopic,Nitrox shock absorber,90/90 x 17 � Tube,100/90 x 17 � Tube,240mm Disc,130mm Drum,,,,,
26,Motorcycle,Bajaj,Pulsar,150 2017 Edition,,149,10.4,13.4,2055,755,1060,165,"1,72,500",Telescopic,Nitrox shock absorber,90/90 x 17 � Tube,100/90 x 17 � Tube,240mm Disc,130mm Drum,,,,,
