1,Hatchback,Peugeot,308,GT Line,France,16,1598,165,4253,2043,1457,,5,43,FWD,Petrol,AG Motors Ltd.,,,,,,,,
2,Sedan,Peugeot,508,Allure,France,14,1598,156,4830,2068,1456,,5,56,FWD,Petrol,AG Motors Ltd.,,,,,,,,
3,SUV,Peugeot,2008,Active,France,21,1199,110,4159,2004,1556,,5,39,FWD,Petrol,AG Motors Ltd.,,,,,,,,
4,SUV,Peugeot,2008,Allure,France,21,1199,110,4159,2004,1556,,5,43,FWD,Petrol,AG Motors Ltd.,,,,,,,,
5,SUV,Peugeot,3008,Allure,France,16,1598,165,4447,2098,1624,220,5,61,FWD,Petrol,AG Motors Ltd.,,,,,,,,
6,SUV,Peugeot,3008,GT Line,France,16,1598,165,4447,2098,1624,220,5,66,FWD,Petrol,AG Motors Ltd.,,,,,,,,
7,SUV,Peugeot,5008,Allure,France,16,1598,165,4641,2098,1646,236,7,76,FWD,Petrol,AG Motors Ltd.,,,,,,,,
8,SUV,Peugeot,5008,GT Line,France,16,1598,165,4641,2098,1646,236,7,81,FWD,Petrol,AG Motors Ltd.,,,,,,,,
9,Sedan,Volvo,S90,T5 Momentum,Sweden,,2000,254,4963,1879,1443,,5,120,,Petrol,Eurocars Ltd.,,,,,,,,
10,Sedan,Volvo,S90,T5 Inscription,Sweden,15,2000,254,4963,1879,1443,,5,142,FWD,Petrol,Eurocars Ltd.,,,,,,,,
11,Sedan,Volvo,S90,T6 R Design,Sweden,,2000,254,4963,1879,1443,,5,162,,Petrol,Eurocars Ltd.,,,,,,,,
12,Sedan,Volvo,S90,T6 Inscription,Sweden,13,2000,320,4963,1879,1443,,5,165,AWD,Petrol,Eurocars Ltd.,,,,,,,,
13,SUV,Volvo,XC60,T5 Momentum,Sweden,13,1969,254,4688,2117,1658,,5,125,AWD,Petrol,Eurocars Ltd.,,,,,,,,
14,SUV,Volvo,XC60,T5 R Design,Sweden,13,1969,,4688,2117,1658,,5,130,AWD,Petrol,Eurocars Ltd.,,,,,,,,
15,SUV,Volvo,XC60,T5 Inscription,Sweden,13,1969,,4688,2117,1658,,5,132,AWD,Petrol,Eurocars Ltd.,,,,,,,,
16,SUV,Volvo,XC90,T5 Momentum,Sweden,13,1969,254,4950,2140,1776,,7,160,AWD,Petrol,Eurocars Ltd.,,,,,,,,
17,SUV,Volvo,XC90,T6 Momentum,Sweden,13,1969,320,4950,2140,1776,,7,,AWD,Petrol,Eurocars Ltd.,,,,,,,,
18,SUV,Volvo,XC90,T6 R Design,Sweden,13,1969,320,4950,2140,1776,,7,188,AWD,Petrol,Eurocars Ltd.,,,,,,,,
19,SUV,Volvo,XC90,T6 Inscription,Sweden,,1969,320,4950,2140,1776,,7,190,AWD,Petrol,Eurocars Ltd.,,,,,,,,
20,Pick Up,Ford,Ranger,Single Cabin XL,Thailand,,2198,118,5277,1860,1800,229,3,27,4WD,Diesel,AG Automobiles Ltd. ,,,,,,,,
21,Pick Up,Ford,Ranger,Double Cabin XL,Thailand,,2198,118,5362,1860,1800,232,5,48,4WD,Diesel,AG Automobiles Ltd. ,,,,,,,,
22,SUV,Ford,Ecosport,Titanium Plus,India,14,1497,121,4325,1765,1646,153,5,36,FWD,Petrol,AG Automobiles Ltd. ,,,,,,,,
23,Sedan,Ford,Mustang,Ecoboost Premium,USA,,1498,,,,,,4,175,,Petrol,AG Automobiles Ltd. ,,,,,,,,
24,Sedan,Audi,A3,25 TFSI,Hungary,15,1197,110,,,,,5,46.37,,Petrol,Progress Motors Imports Ltd.,,,,,,,,
25,Sedan,Audi,A4,40 TFSI,Germany,,1984,190,,,,,5,93,,Petrol,Progress Motors Imports Ltd.,,,,,,,,
26,Sedan,Audi,A5,40 TFSI quattro�,Germany,,1984,252,,,,,5,119,,Petrol,Progress Motors Imports Ltd.,,,,,,,,
27,Sedan,Audi,A6,35 TFSI,Germany,,,,,,,,,112,,,Progress Motors Imports Ltd.,,,,,,,,
28,Sedan,Audi,A8,55 TFSI quattro�,Germany,,,,,,,,,,,,Progress Motors Imports Ltd.,,,,,,,,
29,SUV,Audi,Q2,Compact SUV,Belgium,,,,,,,,,,,,Progress Motors Imports Ltd.,,,,,,,,
30,SUV,Audi,Q3,30 TFSI,Spain,16,1395,150,,,,,5,66,,Petrol,Progress Motors Imports Ltd.,,,,,,,,
31,SUV,Audi,Q3,40 TFSI,Spain,12,1984,220,,,,,5,95,,Petrol,Progress Motors Imports Ltd.,,,,,,,,
32,SUV,Audi,Q5,2.0L,Mexico,14,1984,252,,,,,,128,,Petrol,Progress Motors Imports Ltd.,,,,,,,,
33,SUV,Audi,Q7,40 TFSI quattro�,Slovakia,13.5,1984,252,,,,,,168,,Petrol,Progress Motors Imports Ltd.,,,,,,,,
34,SUV,Audi,Q8,3.0L Diesel,Belgium,,3000,286,4999,2011,1710,,,,,Diesel,Progress Motors Imports Ltd.,,,,,,,,
35,Sedan,BMW,3 Series,318i Sedan,,18,1499,136,,,,,5,78,,Petrol,Executive Motors Ltd.,,,,,,,,
36,Sedan,BMW,5 Series,520d Sedan,,22,1995,190,,,,,5,125,,Diesel,Executive Motors Ltd.,,,,,,,,
37,Sedan,BMW,7 Series,750i,,,2000,258,,,,,5,175,RWD,Petrol,Executive Motors Ltd.,,,,,,,,
38,SUV,BMW,X1,sDrive18i,,15,1499,136,,,,,5,95,,Petrol,Executive Motors Ltd.,,,,,,,,
39,SUV,BMW,X3,xDrive 30i,,,1998,252,,,,,,155,,Petrol,Executive Motors Ltd.,,,,,,,,
40,SUV,BMW,X5,xDrive40e,,,1997,241,4886,2184,1762,,5,,,Petrol,Executive Motors Ltd.,,,,,,,,
41,SUV,BMW,X5,xDrive35i,,,2979,302,4886,2184,1762,,5,,,Petrol,Executive Motors Ltd.,,,,,,,,
